freq_Hz,mode,k,target_fs_Hz,Au_x57_dB,Au_x49_dB
100000,EQUIV,5,19800.0,42.47,41.15
101000,EQUIV,5,20000.0,42.43,41.12
102000,EQUIV,5,20200.0,42.41,41.10
103000,EQUIV,5,20400.0,42.41,41.09
104000,EQUIV,5,20600.0,42.40,41.09
105000,EQUIV,5,20800.0,42.38,41.06
106000,EQUIV,5,21000.0,42.34,41.03
107000,EQUIV,5,21200.0,42.34,41.03
108000,EQUIV,5,21400.0,42.33,41.02
109000,EQUIV,5,21600.0,42.30,40.99
110000,EQUIV,6,18166.7,42.30,40.98
111000,EQUIV,6,18333.3,42.28,40.97
112000,EQUIV,6,18500.0,42.27,40.95
113000,EQUIV,6,18666.7,42.24,40.93
114000,EQUIV,6,18833.3,42.23,40.91
115000,EQUIV,6,19000.0,42.21,40.90
116000,EQUIV,6,19166.7,42.21,40.89
117000,EQUIV,6,19333.3,42.17,40.86
118000,EQUIV,6,19500.0,42.17,40.86
119000,EQUIV,6,19666.7,42.14,40.83
120000,EQUIV,6,19833.3,42.15,40.84
121000,EQUIV,6,20000.0,42.11,40.80
122000,EQUIV,6,20166.7,42.12,40.80
123000,EQUIV,6,20333.3,42.08,40.77
124000,EQUIV,6,20500.0,42.06,40.75
125000,EQUIV,6,20666.7,42.04,40.73
126000,EQUIV,6,20833.3,42.03,40.72
127000,EQUIV,6,21000.0,42.01,40.70
128000,EQUIV,6,21166.7,42.00,40.68
129000,EQUIV,6,21333.3,41.98,40.66
130000,EQUIV,7,18428.6,41.97,40.65
131000,EQUIV,7,18571.4,41.95,40.63
132000,EQUIV,7,18714.3,41.94,40.63
133000,EQUIV,7,18857.1,41.92,40.61
134000,EQUIV,7,19000.0,41.89,40.58
135000,EQUIV,7,19142.9,41.90,40.58
136000,EQUIV,7,19285.7,41.88,40.57
137000,EQUIV,7,19428.6,41.86,40.54
138000,EQUIV,7,19571.4,41.84,40.53
139000,EQUIV,7,19714.3,41.82,40.51
140000,EQUIV,7,19857.1,41.80,40.48
141000,EQUIV,7,20000.0,41.79,40.48
142000,EQUIV,7,20142.9,41.77,40.45
143000,EQUIV,7,20285.7,41.76,40.45
144000,EQUIV,7,20428.6,41.73,40.42
145000,EQUIV,7,20571.4,41.72,40.41
146000,EQUIV,7,20714.3,41.71,40.39
147000,EQUIV,7,20857.1,41.69,40.38
148000,EQUIV,7,21000.0,41.69,40.37
149000,EQUIV,7,21142.9,41.65,40.34
150000,EQUIV,8,18625.0,41.64,40.33
